Company,Link,"Recuriter Name (First, Last)",Email,Phone Number,Status,Description,Technologies
Moves,https://movesfinancial.com/,,Hello@movesfinancial.com,,,,
Fig Finance,https://www.fig.finance/,,gm@fig.finance,,,,
TealBook,https://www.tealbook.com/,,support@tealbook.com,,,,
Barley,https://www.barley.io/,,contact@barley.io,1-855-550-1255,,,
Big Whale Labs,https://bigwhalelabs.com/,,hi@bwl.gg,,,,
Snack,https://www.thesnackapp.com/,,help@getsnackapp.helpscoutapp.com,,,,
Certn,https://certn.co/,,support@certn.co,,,,
Flahmingo,https://www.flahmingo.com/,,hello@flahmingo.com,,,,
7shifts,https://www.7shifts.com/,,careers@7shifts.com,,,,
54e Dev Studios,https://www.54e.dev/,,contact@54e.dev,306-994-5509,,,
Helcim,https://www.helcim.com/,,sales@helcim.com, (877) 643-5246,,,
Tiny Mile,https://tinymile.ai/,,contact@tinymile.ai,,,,
Stack,https://www.trystack.io/,,info@trystack.io,,,,
